"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Short Description","External Apply Link"
"Anfitrión Part Time AM para Energy Los Dominicos","","","","ENERGY FITNESS CLUBS S.P.A.","Las Condes, Región Metropolitana","3,2","https://cl.indeed.com/rc/clk?jk=e836ff0fce515541&fccid=a9eb2b0203eedffb&vjs=3","e836ff0fce515541","EmployerActivo hace 2 días","2023-03-13T14:37:58.073Z"," 
 Buscamos a los mejores Anfitriones Recepcionistas part time para unirse a nuestro equipo en Rancagua.
 Recepcionar, dar solución y/o derivar sugerencias o…
","cl.indeed.com/applystart?jk=e836ff0fce515541"
"Ayudante Administrativo","","","","Eydisa Constructora","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/Eydisa-Constructora/jobs/Ayudante-administrativo-569a0f38f5e0faf5?fccid=555f4ab4981b560a&vjs=3","569a0f38f5e0faf5","EmployerActivo hace 1 día","2023-03-13T14:37:58.073Z"," 
 Control asistencia trabajadores de obra.
","cl.indeed.com/applystart?jk=569a0f38f5e0faf5"
"Promotor/a Wolf and Hank Part Time Falabella Plaza Egaña","","","","Falabella Retail Chile","La Reina, Región Metropolitana","","https://cl.indeed.com/rc/clk?jk=429733d76b481db5&fccid=a99c3c85e2f92d66&vjs=3","429733d76b481db5","EmployerActivo hace 3 días","2023-03-13T14:37:58.073Z"," 
 Disfrutamos y lo pasamos bien trabajando en equipo, aceptando las diferencias por nuestra identidad de género, orientación sexual, creencias religiosas,…
","cl.indeed.com/applystart?jk=429733d76b481db5"
"Anfitriones Happyland Mall del Centro / Part time","","","","Happyland","Santiago de Chile, Región Metropolitana","3,8","https://cl.indeed.com/rc/clk?jk=2af6e593b6ea28d4&fccid=30352f09498955a8&vjs=3","2af6e593b6ea28d4","EmployerActivo hace 2 días","2023-03-13T14:37:58.073Z"," 
 Somos la cadena de centros de entretención familiar líder en Latinoamérica, con más de 25 años de experiencia, con locales ubicados en los principales centros…
","cl.indeed.com/applystart?jk=2af6e593b6ea28d4"
"Asistente Comercial Part Time","","","","Consultora de Reclutamiento y Selección","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/rc/clk?jk=6c5d22a29a6eebfe&fccid=e3fcc4bbcd5ecc22&vjs=3","6c5d22a29a6eebfe","EmployerActivo hace 13 días","2023-03-13T14:37:58.074Z"," 
 To Contact es una consultora de reclutamiento y head hunting.
 Psicologo, Ingeniero en RRHH- Ingeniero en administración o a fin.
","cl.indeed.com/applystart?jk=6c5d22a29a6eebfe"
"Vendedores La Fábrica / DHouse","","","","Forus S.A","San Joaquín, Región Metropolitana","4,1","https://cl.indeed.com/rc/clk?jk=048899cf73bf43bd&fccid=0922f0fc06a2600f&vjs=3","048899cf73bf43bd","EmployerActivo hace 5 días","2023-03-13T14:37:58.074Z"," 
 Extranjeros solo con visa definitiva, no sujeta a contrato.
 Vendedor Full Time: Modalidad de 5x2 (45 horas semanales en turnos rotativos).
","cl.indeed.com/applystart?jk=048899cf73bf43bd"
"Recepción/cajero","$350.000 por mes","Tiempo completo +1","","ÑUÑOA DENTAL SPA","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/%C3%91U%C3%91OA-DENTAL-SPA/jobs/Recepci%C3%B3n-cajero-3bafdb81034fbed4?fccid=614fbaf7e5a8e06f&vjs=3","3bafdb81034fbed4","EmployerActivo hace 8 días","2023-03-13T14:37:58.074Z"," 
 Caja, recepcion, recepcionar llamados,agendar horas ,realizar pedido, mantener limpio y ordenado lugar de trabajo.
","cl.indeed.com/applystart?jk=3bafdb81034fbed4"
"Diseñador/a Senior de PD&P | Senior PD&P Designer","","","","Bechtel","Santiago de Chile, Región Metropolitana","4,1","https://cl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1HrGvM3IO11DU-hdc4u4iftvEi0SlREeNwZASq2ihTw1OyUwQHweFkDBv_UVqoV86kkm2PwCWuhzRnhpIj9FsaC9Km0gxLs6ZwX5KAh5fUQE4vLAZ3yj32rkl1XKQzmYXk3dK8uP6RS-bJhm-iLN1NahKfOdZ-Qv7Vs3eFYmLo74PnNdzJU-OsvmA9Tmi1x3E9YdO3WwBxj2By2jdwIMAa53hqxmwBn_a1kTsxxJTL3EyCu_FFpQDdWXPq1-MI1yp04mIS9tp-NZVeCCwpD_cbboCsfE4EK3Ldhcj0vRXMKyzmFms3yKTnWwySsRlugxhAbpax1UU1qEK1syl8K2ytG3zl8IWiJ8rB8dLhHGitfzfsNSfkfWw34MelnG17bMUCgztCxSm7_jka-mTtJvA8iQ7il3RBFviPUfvNz6rna5H_3eGFKwahpjobYJWJCAz6quoFxhKTH9QWNKGYgJC2d3nhg_L4AbbNErqlZLk4vrsnTh9btRpQ7YV2VXt04-FJFik4-3D8A3nD_0pC8HFWX5kscTYZ8WX7TW9Tq3rPT82nH_TBzCMGRe6wwY0F8cWHsOk75inrdwD7P47aEeGMYGsMbCFe17g6vRv6YQEfj2cesgTYpZQot5_Wecjvf9yFFljA23rnpsO6BlO7Ces1zVR_rlcCcKTBq0ayCg4nF46wxv4EUi5sFasCSRdTVM8d3p4NuO7OKNkNL9pBpgOA3dV7BVy64EIjdeluWeuew==&xkcb=SoAv-_M3StlPOEwBnJ0LbzkdCdPP&p=12&fvj=0&vjs=3","043cfbb46a05ec05","PostedPublicado hace 6 días","2023-03-13T14:37:58.074Z"," 
 Telework Type: Part-Time Telework.
 Representa la disciplina sobre el proyecto y con el cliente para resolver dudas técnicas y según se requiera para coordinar…
","cl.indeed.com/applystart?jk=043cfbb46a05ec05"
"SELECCIONADOR DE PEDIDOS DE ALMACEN","","","","7G Consulting: Seleccion de personal","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/rc/clk?cmp=7G-Consulting%3A-Seleccion-de-personal&ti=Seleccionador+pedidos+almacen&jk=3c05f2ffdf6fb5be&fccid=df1169dda6252cde&vjs=3","3c05f2ffdf6fb5be","EmployerActivo hace 1 día","2023-03-13T14:37:58.075Z","*Descripción completa del empleo* ¿Estas en buena condicion fisica? ¿Buscas la oportunidad de trabajar en Canada? Aprovecha esta excelente oportunidad de…","cl.indeed.com/applystart?jk=3c05f2ffdf6fb5be"
"VENDEDORA PART TIME QUILICURA - OUTLET BUENAVENTURA","","","","Grupo Limonada","Quilicura, Región Metropolitana+4 ubicaciones","","https://cl.indeed.com/company/Grupo-Limonada/jobs/Vendedora-part-time-4d23f990d250a2c1?fccid=33f2f351e7b52ec5&vjs=3","4d23f990d250a2c1","PostedPublicado hace 4 días","2023-03-13T14:37:58.075Z"," 
 Llevamos más de 35 años de trayectoria en el mercado nacional con 107 tiendas de Arica a Punta Arenas y 6 tiendas en Estados Unidos.
","cl.indeed.com/applystart?jk=4d23f990d250a2c1"
